Ref,Group,Kind,Suggested item,Trim type (as on WO),Description (as on WO),Styles using,New Sage code,Unit cost (GBP),Style codes
T485,Care / wash labels,Trim,Oh care label,OH care label,Oliver harvey 60 degree wash/ do not bleach/ 2 dot iron/p dry clean/ low tumble dry 65% recycled polyester/35% organic cotton - label set inside right side seam 10cm up from top of side split,1,,,OHLCJSDERBYSHIRE--03
T486,Care / wash labels,Trim,Oh care label,OH care label,Oliver harvey 60 degree wash/ do not bleach/ 2 dot iron/p dry clean/ low tumble dry 65%recycled polyester/35% organic cotton - label set inside right side seam 10cm up from top of side split,1,,,OHLCJDERBYSHIRE--03
T487,Care / wash labels,Trim,Oh care label,OH care label,Oliver harvey 65% recycled polyester/35% organic cotton / 60 degree wash/ do not bleach/ 2 dot iron/p dry clean/ low tumble dry - label set inside right side seam 10cm up from top of side split,1,,,OHLCJSDERBYSHIRE--01
T488,Care / wash labels,Trim,Oh care label,OH care label,Oliver harvey wash instructions set under OH woven label right side seam as worn / Wash - 100% organic cotton/40 degree wash / tumble dry low/ 2 dot iron/do not bleach / p dry clean,1,,,OHAP300501C
T489,Care / wash labels,Trim,Oh care label,OH care label,Oliver harvey wash instructions set under OH woven label right side seam as worn / Wash - 65% polyester 35% cotton/60 degree wash / tumble dry/ 2 dot iron/do not bleach / p dry clean,1,,,OHAP300505
T490,Care / wash labels,Trim,Oh care label,OH care label,Oliver harvey wash instructions set under OH woven label right side seam as worn / Wash - 65% recycled polyester 35% organic cotton/60 degree wash / tumble dry low/ 2 dot iron/do not bleach / p dry clean,1,,,OHAP300583
T491,Care / wash labels,Trim,Oh care label,OH care label,Oliver harvey wash instructions set under OH woven label right side seam as worn / Wash - 65% recycled polyester 35% organic cotton/60 degree wash / tumble dry/ 2 dot iron/do not bleach / p dry clean,1,,,OHAPP300503PCL
T492,Care / wash labels,Trim,Oh care label,OH care label,Oliver harvey wash instructions set under OH woven label right side seam as worn / Wash - 65% recycled polyester/ 35%organic cotton/60 degree wash / tumble dry/ 2 dot iron/do not bleach / p dry clean,1,,,OHAP300503PCS
T493,Care / wash labels,Trim,Oh care label,OH care label,Oliver harvey wash instructions set under OH woven label right side seam as worn / Wash - 65% recycled polyester/35% organic cotton/60 degree wash /low tumble dry/ 2 dot iron/do not bleach / p dry clean,1,,,OHAP300501PC
T494,Care / wash labels,Trim,Oh care label,OH care label,Oliver harvey wash instructions set under OH woven label right side seam as worn / Wash - 65% recycledpolyester 35% organic cotton/60 degree wash / tumble dry/ 2 dot iron/do not bleach / p dry clean,1,,,OHAP3005248L
T495,Care / wash labels,Trim,Oh care label,OH care label,Oliver harvey wash instructions set under OH woven label right side seam as worn / Wash - 65%recycled polyester 35% organic cotton/60 degree wash / tumble dry/ 2 dot iron/do not bleach / p dry clean,1,,,OHAP300515L
T496,Care / wash labels,Trim,Oh care label,OH care label,Oliver harvey wash instructions set under OH woven label right side seam as worn / Wash - 65%recycled polyester 35%organic cotton/60 degree wash / tumble dry/ 2 dot iron/do not bleach / p dry clean,1,,,OHAP300503PCL
T497,Care / wash labels,Trim,Oh care label,OH care label,Oliver harvey wash instructions set under OH woven label right side seam as worn / Wash - 65%recycled polyester/35% organic cotton/60 degree wash / tumble dry/ 2 dot iron/do not bleach / p dry clean,1,,,OHAP300503PC
T498,Care / wash labels,Trim,Oh care label,OH care label,Oliver Harvey wash instructions under woven label. Right side seam. / WASH - 100% Cotton - 60 DEGREE WASH,1,,,OHAP052031
T499,Care / wash labels,Trim,Oh care label,OH care label,Pre printed care instructions set 5cm down from top cut edge of right side seam as worn.,1,,,OHAP352803VARI
